input,correct,expected,predicted,score
"def register_component_producer(self, component_id: str, atom_name: str):
        
        logger.info(f""[DAG] Registering component producer {component_id=} {atom_name=}"")
        if <IFMASK>:
            self._component_producers[component_id] = atom_name
            if self._current_atom:
                logger.info(f""[DAG] Component registered while atom was active self._current_atom={self._current_atom}"")
        else:
            logger.warning(f""[DAG] Skipping producer registration for unknown atom {atom_name=}"") <ANS> ",true,atom_name in self.atoms,self._current_atom is None or self._current_ atom == 'unknown' or (self._current_atom,59.58
"def filter_property(self, siid: int, piid: int) -> bool:
        
        if (self._cache and 'properties' in self._cache and
            
            <IFMASK>):
            return True
        return False <ANS> ",true,self._cache and 'properties' in self._cache and,self._cache and 'properties' in self._cache and (not self._cached_properties) and (not self,65.94
"def _save_ontology_to_db(self, ontology: ""Ontology"") -> None:  # type: ignore[no-any-unimported]
        
        if <IFMASK>:
            raise ValueError(f""Knowledge graph {self.name} is already created."")
        graph = self.__get_ontology_storage_graph()
        ontology.save_to_graph(graph) <ANS> ",false,self.ontology_table_name in self.falkordb.list_graphs(),self.dtype.kind == 'f' and self.shape == SHAPE_SINGLETON and (not self.shape,50.91
"def _build_merge_function(self):
        

        def merge_fn(ctrl_msg: IngestControlMessage):
            do_trace_tagging = ctrl_msg.get_metadata(""config::add_trace_tagging"") is True
            if <IFMASK>:
                ts_exit = datetime.now()
                ctrl_msg.set_timestamp(f""trace::exit::{self._task_desc}"", ts_exit)
                ctrl_msg.set_timestamp(""latency::ts_send"", ts_exit)
            return ctrl_msg

        return merge_fn <ANS> ",false,do_trace_tagging,not self._task_desc.passed and self._task_desc.passed_categorical_count > 0 and (,51.64
"def filter_paths(openapi_schema: Dict[str, Any]) -> Dict[str, Any]:
    
    if <IFMASK>:
        return openapi_schema

    filtered_paths = {}
    for path, path_item in openapi_schema[""paths""].items():
        include_path = False
        filtered_operations = {}

        for method, operation in path_item.items(): <ANS> ",false,"""paths"" not in openapi_schema",not path_item.startswith('/') and (not path_item.endswith('.json')) and (not path_item,65.77
"def _handle_task_completion(self, task: asyncio.Task) -> None:
        
        task_id = getattr(task, ""task_id"", ""unknown"")
        self.pending_tasks.discard(task)

        if <IFMASK>:
            logger.warning(f""🚫 WORKER_CANCELLED [{task_id}] Task was cancelled"")
        elif task.exception() is not None:
            logger.error(
                f""💥 WORKER_EXCEPTION [{task_id}] Task completed with exception: {task.exception()}""
            )
        else:
            logger.info(f""🏁 WORKER_CLEANUP [{task_id}] Task cleaned up successfully"") <ANS> ",true,task.cancelled(),self.pending_tasks and task.cancelled() and (not task.cancelling()) and (not task.cancelling()),63.28
"def _get_mime_type(self) -> str:
        
        if <IFMASK>:
            return f""image/{self._format.lower()}""

        if self.path:
            suffix = self.path.suffix.lower()
            return {
                "".png"": ""image/png"",
                "".jpg"": ""image/jpeg"",
                "".jpeg"": ""image/jpeg"", <ANS> ",true,self._format,self.path and self.path.endswith('.png') and (not self.path.endswith('.jpg')) and,65.13
"def check_and_install_dependencies():
    
    required_packages = [
        ""gunicorn"",
        ""tiktoken"",
        ""psutil"",
        # Add other required packages here
    ]

    for package in required_packages:
        if <IFMASK>:
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"") <ANS> ",false,not pm.is_installed(package),not os.path.exists(cache_dir) or not os.path.exists(cache_dir) or,66.76
"def get(cls, name: str, raise_on_missing: bool = True) -> Optional[T]:
        

        matches = [registered for registered in cls._get_storage() if re.match(registered, name)]

        if <IFMASK>:
            raise ValueError(f""Multiple taggers match {name}: {', '.join(matches)}"")

        elif len(matches) == 0:
            if raise_on_missing:
                tagger_names = "", "".join([tn for tn, _ in cls.items()])
                raise ValueError(f""Unknown tagger {name}; available taggers: {tagger_names}"")
            return None <ANS> ",true,len(matches) > 1,not matches and (not raise_on_missing) and (not cls._is_re_pattern_with_,60.25
"def get_single_param_type_from_schema(param_schema: Dict[str, Any]) -> str:
    
    if <IFMASK>:
        types = {schema.get(""type"") for schema in param_schema[""anyOf""] if schema.get(""type"")}
        if ""null"" in types:
            types.remove(""null"")
        if types:
            return next(iter(types))
        return ""string""
    return param_schema.get(""type"", ""string"") <ANS> ",true,"""anyOf"" in param_schema",param_type == 'string' and 'anyOf' in param_type_name and (not isinstance(param_,57.79
"def start(self):
        
        try:
            self.reset_trace()
            self.current_trace[""start_time""] = datetime.now()
            self._active = True
            self._monkey_patch()

            if <IFMASK>:
                loop = asyncio.get_event_loop()
                self._save_task = loop.create_task(self._periodic_save())

            logger.info(""Tracing started"")
        except Exception as e:
            logger.error(f""Error starting tracer: {e}"")
            self.on_error(e, context=""start"")
            raise <ANS> ",true,self.save_interval,self.enabled_for_logging and _CONNECTION_LOGGER.isEnabledFor(logging.DEBUG) and (not self.,77.09
"def generate_audio_from_phonemes(phonemes: str, voice: str = ""af_bella""):
    
    response = requests.post(
        json={""phonemes"": phonemes, ""voice"": voice},
        headers={""Accept"": ""audio/wav""}
    )
    if <IFMASK>:
        print(f""Error: {response.text}"")
        return None
    return response.content <ANS> ",true,response.status_code != 200,len(response.body) != 1 and (not response.body[0].startswith('https://')) and (,64.43
"def _build_conversation_context(self) -> str:
        
        context_parts = []

        # Include recent messages (last 5 for now)
        recent_messages = (
            self.state.messages[-5:]
            if len(self.state.messages) > 5
            else self.state.messages
        )

        for msg in recent_messages:
            if <IFMASK>:  # Skip system message in context
                role_label = ""User"" if msg.role == ""user"" else ""Assistant""
                context_parts.append(f""{role_label}: {msg.content}"")

        return (
            ""\n"".join(context_parts)
            if context_parts
            else ""This is the start of our conversation.""
        ) <ANS> ",false,"msg.role != ""system""",self.state.is_terminal and self.state.is_terminal and self.state.is_terminal and,58.67
"def to_api_params(self) -> Dict[str, JsonValue]:
        
        params: Dict[str, JsonValue] = {
            ""includeResolvedCases"": cast(JsonValue, self.include_resolved_cases),
            ""includeCommunications"": cast(JsonValue, self.include_communications),
            ""language"": cast(JsonValue, self.language),
        }

        if <IFMASK>:
            params[""caseIdList""] = cast(JsonValue, self.case_id_list)
        if self.display_id:
            params[""displayId""] = cast(JsonValue, self.display_id)
        if self.after_time:
            params[""afterTime""] = cast(JsonValue, self.after_time)
        if self.before_time:
            params[""beforeTime""] = cast(JsonValue, self.before_time)
        if self.max_results: <ANS> ",true,self.case_id_list,self.display_name and self.display_name != self.display_name_plural and self.display_,55.10
"def interpreter_feedback(self, output: str) -> str:
        
        if <IFMASK>:
            raise ValueError(""No output to interpret."")
        return f <ANS> ",false,not output,self.verbose > 0 and self.verbose_mod is not None and (not self.verbose_mod.is,51.93
"def auto_discover_processors():
    
    # get processors directory path
    processors_path = Path(__file__).parent.parent / ""processors""

    # iterate over all subdirectories in processors directory
    for _, name, _ in pkgutil.iter_modules([str(processors_path)]):
        # if it is a directory and contains processor.py
        processor_file = processors_path / name / ""processor.py""
        if <IFMASK>:
            module_path = f""lpm_kernel.file_data.processors.{name}.processor""
            try:
                importlib.import_module(module_path)
            except ImportError as e:
                print(f""Failed to load processor module {module_path}: {e}"") <ANS> ",true,processor_file.exists(),not os.path.exists(processor_file) or not os.path.exists(processor_file) or,71.04
